===================================================================================
       DINAJPUR EDUCATION BOARD — COMPLETE HSC COLLEGE & EIIN MASTER LIST
       Total Verified HSC Institutions: 875 across 8 Districts
===================================================================================


############################# DINAJPUR DISTRICT (166 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
120460     | Non-government School And College    | Raniganj Second B.L. High School And College
120723     | Non-government School And College    | Saint Philip S High School And College
120769     | Non-government School And College    | Shahid Jamir Uddin Girls School And College
120705     | Non-government School And College    | Shapla Girls School And College
120456     | Non-government School And College    | Uttar Laxmipur High School And College
121070     | Non-government School And College    | Uttar Salandar High School And College Dinajpur
133069     | Non-government Technical And Vocational | Ajitpur Technical And Busienss Manangement College
132985     | Non-government Technical And Vocational | Birampur Technical And Business Management College
132952     | Non-government Technical And Vocational | Boikantapur Technical And Business Management College
137989     | Non-government Technical And Vocational | Chirirbandar Womens Technical And Bm College
133816     | Non-government Technical And Vocational | Chowdhury Hat Technical And Business Management College
133176     | Non-government Technical And Vocational | Dakhin Rangaon Technical And Bm College
132423     | Non-government Technical And Vocational | Daudpur Technical College
133074     | Non-government Technical And Vocational | Ghoraghat Technical College
132443     | Non-government Technical And Vocational | Goaldihi Technical And Business Management College
136970     | Non-government Technical And Vocational | Gobindopur Girls Bm College
133869     | Non-government Technical And Vocational | Jalalpur Technical & Business Managment College
133129     | Non-government Technical And Vocational | Kanchan Techcal And Business Managment College
133029     | Non-government Technical And Vocational | Khamardigha H.r. Technical And Buisness Management College
132635     | Non-government Technical And Vocational | Khansama Tecnical And Business Managment College
133149     | Non-government Technical And Vocational | Mojid Nagar Technical & Business Management College
133062     | Non-government Technical And Vocational | Nafa Nagar Technical And Business Management College
133139     | Non-government Technical And Vocational | Nawab Gonj Technical College
132488     | Non-government Technical And Vocational | Pakerhat Science And Technical College
133170     | Non-government Technical And Vocational | Parbati Pur Technical And Agriculture College
135121     | Non-government Technical And Vocational | Parbatipur Karigory And Banijjic College
136735     | Non-government Technical And Vocational | Parbatipur Model Mohila Bm College
133126     | Non-government Technical And Vocational | Phulbari  Technical And Business Management College
137760     | Non-government Technical And Vocational | Phulbari Women B.m College
136142     | Non-government Technical And Vocational | Punarbhaba Technical And Bm College
133086     | Non-government Technical And Vocational | Puroil Dugdugihat Technical & Business Management College
133180     | Non-government Technical And Vocational | S K Technical And Business Management College
136333     | Non-government Technical And Vocational | Sundarbon Technical And Bm College
136155     | Non-government Technical And Vocational | Trust College Of Medical Technology
132795     | Non-government Technical And Vocational | Uttar Ververy Shapla Technicalvoc School And Bm College
135985     | Non-government Technical And Vocational | Velarpar Women Technical And Bm College

############################# RANGPUR DISTRICT (152 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
------------------------------------------------------------------------------------------------
