===================================================================================
       DINAJPUR EDUCATION BOARD — COMPLETE HSC COLLEGE & EIIN MASTER LIST
       Total Verified HSC Institutions: 875 across 8 Districts
===================================================================================


############################# DINAJPUR DISTRICT (166 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
132626     | Non-government Technical And Vocational | Amirabad Technical And Business Managament College
137658     | Non-government Technical And Vocational | Bhurungamari Model Technical School And Bm College
132753     | Non-government Technical And Vocational | Boailbhir Technical & Business  Management  College
132584     | Non-government Technical And Vocational | Char Rajibpur Technical And Business Management College
132001     | Non-government Technical And Vocational | Chilmari Tecnical And Business Managmentcollege
132390     | Non-government Technical And Vocational | Diadanga Ideal Tecnical School And College
135114     | Non-government Technical And Vocational | Kachakata Model Women Technical School And College
132598     | Non-government Technical And Vocational | Khalilgonj Technical And Business Management College
132477     | Non-government Technical And Vocational | M  A   Matin    Tecnical  And   Agriculture     College
132498     | Non-government Technical And Vocational | Medha Bikash Technical And B M College
136203     | Non-government Technical And Vocational | Mondoler Bazar Technical School And College
135911     | Non-government Technical And Vocational | Raigonj J.r. Technical School And College
132619     | Non-government Technical And Vocational | Rajarhat Karigori Banijjik College
133867     | Non-government Technical And Vocational | Rajarhat Model Mohila Baybosay Bebosthapona & Krishe Diploma College
132611     | Non-government Technical And Vocational | Rajibpur Technical And B.m. College
132438     | Non-government Technical And Vocational | Rowmari Technical And Business Management College
135113     | Non-government Technical And Vocational | Shimulbari Girls Technical And Bm College
134378     | Non-government Technical And Vocational | Sundurgram Putikata Technical And B.m. College

############################# NILPHAMARI DISTRICT (120 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
------------------------------------------------------------------------------------------------
124778     | General College (HSC)                | Adabari School And College
124989     | General College (HSC)                | Kalikapur School And College
135443     | General College (HSC)                | Nilsagor College
124932     | General College (HSC)                | Rashidpur Girls School And College
124988     | General College (HSC)                | Sharifabad School And College
124893     | Government College                   | Chilahati Government College
124892     | Government College                   | Domar Government College
125189     | Government College                   | Nilphamari Govt. College
125188     | Government College                   | Nilphamari Govt. Women S College
125242     | Government School And College        | Saidpur Govt. Technical College
132223     | Government Technical And Vocational  | Nilphamari Gov Tecnical School And College
125088     | Local Government School And College  | Jadurhat School And College
125193     | Non-government College               | Adarsha College
125055     | Non-government College               | Anormari College
135402     | Non-government College               | Bahagili Model College
138086     | Non-government College               | Bhabunchur Hat College
125187     | Non-government College               | Chander Hat College
135536     | Non-government College               | Chandkhana Model College
134357     | Non-government College               | Chhatnai College
124824     | Non-government College               | Dimla Islamia College
124827     | Non-government College               | Dimla Women S College
136736     | Non-government College               | Domar Upzila Adrsho College
124896     | Non-government College               | Domar Women S College Nilphamari
135397     | Non-government College               | Dr. Saifur Rahaman Women S College
137737     | Non-government College               | Gaya Khari Bari Women S College
136905     | Non-government College               | Golmunda Adarsha College
124980     | Non-government College               | Golna Shahid Smrity College
124894     | Non-government College               | Gomnati College
124981     | Non-government College               | Ideal College
124977     | Non-government College               | Jaldhaka College
135404     | Non-government College               | Jaldhaka Women S College
124825     | Non-government College               | Janata College Dimla
125245     | Non-government College               | Kamarpukur College
133751     | Non-government College               | Kishoregonj Mohila College
125053     | Non-government College               | Kishoriganj College
125052     | Non-government College               | Magura College
124979     | Non-government College               | Mirganj Hat College
124895     | Non-government College               | Mirjoyganj College Nilphamari
125190     | Non-government College               | Moshiur Rahman College
135420     | Non-government College               | Nilphamari Model College
135453     | Non-government College               | Nilsagor College
125192     | Non-government College               | Palashbari College
135251     | Non-government College               | Paschim Chhatnai Women S College
124976     | Non-government College               | Rabeya Chowdhury Women S College
125054     | Non-government College               | Radharani Women S College Nilphamari
125194     | Non-government College               | Ramganj College
125243     | Non-government College               | Saidpur College
125244     | Non-government College               | Saidpur Women S College
133764     | Non-government College               | Shahid Ziaur Rahman College
134508     | Non-government College               | Sheikh Fazilatun Nessa Mujib Women S College
124978     | Non-government College               | Shimulbari Banga Bandhu College
125191     | Non-government College               | Sona Roy Sangalshi College Nilphamari
135340     | Non-government College               | Tengonmari Degree College
124826     | Non-government College               | Tista College
125115     | Non-government School                | Kachua Chowrangi Sheba School And College
136507     | Non-government School                | Zila Parishad School And College
124847     | Non-government School And College    | Bagdokra Nimozkhana High School And College
124912     | Non-government School And College    | Bagulagari School And College
125056     | Non-government School And College    | Baravita High School And College
125018     | Non-government School And College    | Begum Khaleda Zia (B.K.Z) Model School And College
125196     | Non-government School And College    | Charaikhola High School And College
124909     | Non-government School And College    | Chawradangi High School And College
124844     | Non-government School And College    | Chilahati Girls High School And College
125195     | Non-government School And College    | Collectorate Public College
124792     | Non-government School And College    | Dohol Para Adarsha School And College
124828     | Non-government School And College    | Gayabari High School And College
125067     | Non-government School And College    | Gore Gram School And College
124876     | Non-government School And College    | Goshaiganj School And College
124908     | Non-government School And College    | Harish Chandra Path School And College
125247     | Non-government School And College    | Hazarihat High School And College
125211     | Non-government School And College    | Khalisha Belpukur School And College
124983     | Non-government School And College    | Koimari School And College
125250     | Non-government School And College    | Koyagola Hat School And College
125212     | Non-government School And College    | Lakshmanpur School And College
125204     | Non-government School And College    | Lions School And College
124838     | Non-government School And College    | Motukpur School And College
125081     | Non-government School And College    | Nagor Daroani School And College
124770     | Non-government School And College    | Nautara Girls School And College
124991     | Non-government School And College    | Nayan Khal School And College
125068     | Non-government School And College    | Panchapukur School And College
125057     | Non-government School And College    | Ranochandi High School And College
125252     | Non-government School And College    | Saidpur Adarsha Girls School And College
125248     | Non-government School And College    | Saidpur Cantonment Public School And College
125060     | Non-government School And College    | Samir Uddin School And College
125213     | Non-government School And College    | Satpai High School And College
124836     | Non-government School And College    | Shal Mara Bachiran Nesa School And College
124998     | Non-government School And College    | Shisu Nikatan School And College
124927     | Non-government School And College    | Shoulmari Girls School And College
124771     | Non-government School And College    | Sundar Khata School And College
125251     | Non-government School And College    | Sunflower School And College
125201     | Non-government School And College    | Syedpur Pilot Girls High School And College
125087     | Non-government School And College    | Taranibari School And College
125197     | Non-government School And College    | Uttar Chowra Baragachha School And College
125003     | Non-government School And College    | Ververy Majhapara School And College
133568     | Non-government Technical And Vocational | Al-haj Mijanur Rahma Chow. Krishi College
135157     | Non-government Technical And Vocational | Balarpukur Mohila Technical School & B.m College
132826     | Non-government Technical And Vocational | Chanderhat Agriculture College
132999     | Non-government Technical And Vocational | Dakshinpara Tec  And B M College
134370     | Non-government Technical And Vocational | Dewanganj Shokherhbazar Huzurpara Mohila B.m College
136963     | Non-government Technical And Vocational | Dimla Computer Science And Polytechnic College
135355     | Non-government Technical And Vocational | Dimla Mohila Bussiness Managment College
132940     | Non-government Technical And Vocational | Gomnati Technical And Business Management College
132138     | Non-government Technical And Vocational | Gouharpur Technical And Business Management College
135964     | Non-government Technical And Vocational | Kachua Chowrangi Mohela Technical And B. M. College
133123     | Non-government Technical And Vocational | Kalikapur Agriculture And Technical College
132201     | Non-government Technical And Vocational | Kanchanpara Ideal Technical And B.m College
132757     | Non-government Technical And Vocational | Kellabari Technical And Business Management College
136964     | Non-government Technical And Vocational | Khalisha Chapani Bm College
135161     | Non-government Technical And Vocational | Kishoregonj Technical Girls College
132605     | Non-government Technical And Vocational | Kishorganj B.m. College
132379     | Non-government Technical And Vocational | Kukra Danga B.m. College
133216     | Non-government Technical And Vocational | Mokbul Hossain Technical And Business Management College
132366     | Non-government Technical And Vocational | Nilphamri  Technical  &  B . M College
132284     | Non-government Technical And Vocational | Paschim  Chapra  Tachnical  And  Business  Mangement  College
134369     | Non-government Technical And Vocational | Poschim Horinchora Women B. M College
132211     | Non-government Technical And Vocational | Pourosova Technical  And Business Management College
133080     | Non-government Technical And Vocational | Ramgong Technical And B M College
132948     | Non-government Technical And Vocational | Taltoli Technical And Business Mangement College
137269     | Non-government Technical And Vocational | Tengonmari Technical And Bm College
132875     | Non-government Technical And Vocational | Vadur Dorga Aual-najia Bm College

############################# LALMONIRHAT DISTRICT (87 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
------------------------------------------------------------------------------------------------
137653     | Autonomous School And College        | Cantonment Public School And College Lalmonirhat
122767     | General College (HSC)                | Aditamari College
122840     | General College (HSC)                | Lohakuchi School And College
122992     | General College (HSC)                | Patgram Taraknath (T.N) School And College
131015     | General College (HSC)                | Phakal Police Lines School And College
123027     | Government College                   | Govt. Jasmuddin Kazi A. Gani College Patgram
122988     | Government College                   | Lalmonirhat Govt. College
122989     | Government College                   | Majida Khatun Govt. Women S College
132279     | Government Technical And Vocational  | Lalmonirhat Technical School And College
122829     | Non-government College               | Alimuddin College Hatibandha
136931     | Non-government College               | Aminur Rahman College
122826     | Non-government College               | Bara Khata College
134400     | Non-government College               | Barajan Naya College
134401     | Non-government College               | Baura Punamchand Bhutoria College
137661     | Non-government College               | Beer Muktijoddha Motahar Hossain College
122987     | Non-government College               | Begum Kamrun Nessa College Lalmonirhat
136916     | Non-government College               | Border Guard Public College
137992     | Non-government College               | Daikhawa Mohila College
122827     | Non-government College               | Doi Khawa Adarsha College
135348     | Non-government College               | Fakirpara Adarsho Mohila College
134878     | Non-government College               | Gandukuri Ideal Mohila College
132005     | Non-government College               | Hajiganj Udioman Suruj College
122828     | Non-government College               | Hatibandha Model College
122830     | Non-government College               | Hatibandha Women S College Lalmonirhat
122892     | Non-government College               | Karim Uddin Public College Kaliganj
122990     | Non-government College               | Lalmonirhat Adarsha College
122986     | Non-government College               | Mohendra Nagar College
122771     | Non-government College               | Namuri College
134402     | Non-government College               | Nasir Uddin College
123028     | Non-government College               | Patgram Women S College
123026     | Non-government College               | Pathgram Adarsha College
122768     | Non-government College               | Sapti Bari College
122991     | Non-government College               | Shahid Abul Kashem College Panga
122893     | Non-government College               | Shamsuddin Kamaruddin College
134762     | Non-government College               | Shial Khowa College
122985     | Non-government College               | Tista College
122894     | Non-government College               | Tushvandar Women S College
122891     | Non-government College               | Uttar Bangla College
122890     | Non-government College               | Uttaran College
135300     | Non-government College               | Zamena Rowshan Ara Mohila College
122773     | Non-government School                | Hatibanda Ss High School And Technical College
122717     | Non-government School And College    | Aditmari Girja Sankar Model School And College
122772     | Non-government School And College    | Aditmari Kanteswar Barmon Girls High School And College
122724     | Non-government School And College    | Bhelabari School And College
122895     | Non-government School And College    | Chandrapur High School And College
122849     | Non-government School And College    | Dakshin Ghanashyam School And College
122844     | Non-government School And College    | Duhuly S.C. High School And College
122725     | Non-government School And College    | Gandhamarua School And College
122730     | Non-government School And College    | Hazigonj School And College
122866     | Non-government School And College    | Kakina Girls High School And College
122719     | Non-government School And College    | Kumrirhat S. C School And College
122726     | Non-government School And College    | Mahishashahar School And College
122770     | Non-government School And College    | Mohish Khocha High School And College
122744     | Non-government School And College    | Namuri Adarsh Multmeiernal Girls High School And College
122718     | Non-government School And College    | Namuri High School And College
122775     | Non-government School And College    | Parulia Schedule Caste High School And College
122858     | Non-government School And College    | Ruddreshwar School And College
122733     | Non-government School And College    | Sabera Khatun Girls High School And College
122843     | Non-government School And College    | Shial Khowa S.C School And College
122845     | Non-government School And College    | Sonarhat School And College
122859     | Non-government School And College    | Uttar Dalgram Adarsha School And College
136017     | Non-government Technical And Vocational | Aminganj Technical And Bm College
136252     | Non-government Technical And Vocational | Ananda Bazar Bm College
138023     | Non-government Technical And Vocational | Barakhata Public Technical And Bm College
134407     | Non-government Technical And Vocational | Chandrapur Model Women Technical And B.m College
133156     | Non-government Technical And Vocational | Chaparhat Technical And Bm College
132782     | Non-government Technical And Vocational | Daikhawa Technical And Business Management College
132889     | Non-government Technical And Vocational | Dhaknai Technical & Business Management College
133164     | Non-government Technical And Vocational | Duhuli Technical & Business Management College
134406     | Non-government Technical And Vocational | Hatibandha Technical And Business Management Mohila College
133121     | Non-government Technical And Vocational | Haziganj Udioman Suruj Tec. And B. M. College
137818     | Non-government Technical And Vocational | Jowranihat Public Bm College
133902     | Non-government Technical And Vocational | Lalmonirhat Technical And Commerce College
132221     | Non-government Technical And Vocational | Mohandranagar Business Management & Technical College
132525     | Non-government Technical And Vocational | Northbengol Technical And Business Management College
132595     | Non-government Technical And Vocational | Patgram Poura Technical And B M College
137762     | Non-government Technical And Vocational | Patgram Pourasova Women Technical And Bm College
133045     | Non-government Technical And Vocational | Patgram Technical And Business Management College
135499     | Non-government Technical And Vocational | Ramdas Shibbari Mohila Bm College
132986     | Non-government Technical And Vocational | Rokon Uddin Babul Anowar Begum Krishi College
136832     | Non-government Technical And Vocational | Rostompur Mohila Technical And Bm College
132908     | Non-government Technical And Vocational | Sakoyar Manjil Technical (business Management)college
137037     | Non-government Technical And Vocational | Shangkharbazar Technical And Bm College
133144     | Non-government Technical And Vocational | Sheikh Shafiuddin Commerce College
136161     | Non-government Technical And Vocational | Shurjomukhi Technical And Bm College
132874     | Non-government Technical And Vocational | Taluk Mrittinga Technical And Business Management College
132646     | Non-government Technical And Vocational | Uttorbongo  Technical  And  Business  Management  College

############################# THAKURGAON DISTRICT (84 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
------------------------------------------------------------------------------------------------
129171     | General College (HSC)                | Amantullah Islami Academy School And College
129012     | General College (HSC)                | Dhuljhari School And College
129145     | General College (HSC)                | Motra Hat School And College
129083     | General College (HSC)                | Police Lines School And College Thakurgaon
131942     | General College (HSC)                | Rampur College
128965     | Government College                   | Pirganj Govt. College
129305     | Government College                   | Thakurgaon Govt. College
129308     | Government College                   | Thakurgaon Govt. Women S College
133007     | Government Technical And Vocational  | Thakurgaon Tecnical School And College
129312     | Non-government College               | Abdur Rashid College
129306     | Non-government College               | Abul Hossain Sarker College
129074     | Non-government College               | Banglagar College
128972     | Non-government College               | Banshgara Ideal College
129311     | Non-government College               | Bhulli College
128969     | Non-government College               | Chandaria College
128967     | Non-government College               | D. N. College Pirganj
129077     | Non-government College               | D.K. College.
128855     | Non-government College               | Damol Ideal College
129073     | Non-government College               | Gazir Hat College Thakurgaon
129314     | Non-government College               | Ginnidebi Agarwal Women S College
131940     | Non-government College               | Gogor College
129310     | Non-government College               | Goreya College
128971     | Non-government College               | Hajipur College
128854     | Non-government College               | Haripur Adarsha Women S College
128853     | Non-government College               | Haripur Women S College
128966     | Non-government College               | Jabarhat College
128850     | Non-government College               | Jadurani Adarsha College
128851     | Non-government College               | Jadurani College
128849     | Non-government College               | K. B. College Thakurgaon
128852     | Non-government College               | Kanthaldangi Women S College
128769     | Non-government College               | Lahiri College Thakurgaon
128970     | Non-government College               | Lohagara College
128848     | Non-government College               | Moslem Uddin College Haripur
128974     | Non-government College               | Nawdanga College
129072     | Non-government College               | Nek Marad Bangabandhu College
128973     | Non-government College               | Pirganj Adarsha College
128968     | Non-government College               | Pirganj Women S College
129071     | Non-government College               | Rani Sankail College
129070     | Non-government College               | Ranisankail Women S College
129304     | Non-government College               | Ruhea College
129307     | Non-government College               | Salandar College
131995     | Non-government College               | Salandar Women S College
128768     | Non-government College               | Samir Uddin Smrity College Baliadangi
128770     | Non-government College               | Shahid Akbar Ali Science And Technology College
129313     | Non-government College               | Shibganj College
129316     | Non-government College               | Thakurgaon New Model College
129309     | Non-government College               | Thakurgaon Road College
136455     | Non-government College               | Valajan Mohabiddalay
133731     | Non-government School And College    | Collectorate Public School And College
128861     | Non-government School And College    | Ektiarpur Shahid Salahuddin School And College
128976     | Non-government School And College    | Ghughua Abdus Sobhan High School And College
128975     | Non-government School And College    | H.k High School And B.m College
128699     | Non-government School And College    | Harin Mari School And College
129175     | Non-government School And College    | Kadamrasul Hat School And College
128771     | Non-government School And College    | Kalomegh R. Ali Bahumukhi High School And College
128700     | Non-government School And College    | Morol Hat Janata School And College
128977     | Non-government School And College    | Pirganj Collegiate School And College
128693     | Non-government School And College    | Ratnai Bagula Bari High School And College
128981     | Non-government School And College    | Routhnagor School And College
128799     | Non-government School And College    | Tangria High School And College
134392     | Non-government Technical And Vocational | Akhanagar Technical And Business Management College
132717     | Non-government Technical And Vocational | Baliadangi Technical & B M College
132857     | Non-government Technical And Vocational | Bishmail Technical And Business Managment College
132801     | Non-government Technical And Vocational | Chawrangi Technical And B.m. College
132910     | Non-government Technical And Vocational | Dehatta Woman B.m College
132764     | Non-government Technical And Vocational | Dholar Hat Technical And Business Managment College
132643     | Non-government Technical And Vocational | Gazirhat Technical And B M College
135141     | Non-government Technical And Vocational | Goreya Womens Technical And B M College
133499     | Non-government Technical And Vocational | Kathal Dangi Agriculture College
134405     | Non-government Technical And Vocational | Madargonj Technical And Business Management College
132872     | Non-government Technical And Vocational | Madnisagar Tech. And B.m. College
132787     | Non-government Technical And Vocational | Mirdangi Technical And Buisness Management College
132026     | Non-government Technical And Vocational | Padampur Tecnical And Business Managment College
133859     | Non-government Technical And Vocational | Paligaon Technical And Business Managment College, Pirgonj
132282     | Non-government Technical And Vocational | Pirganj Adarsha Technical And Business Management College
132737     | Non-government Technical And Vocational | Pirganj Technical And Business Management College
132679     | Non-government Technical And Vocational | Pirganj Women Technichel And Business Management College
132651     | Non-government Technical And Vocational | Puratan Thakurgaon Technical And Business Management College
132981     | Non-government Technical And Vocational | Ranisankail B. M. College
132489     | Non-government Technical And Vocational | Ranisankail Women Technical & Busness Mangement College
133165     | Non-government Technical And Vocational | Ruhea Technical And Business Management College
132817     | Non-government Technical And Vocational | Thakurgaon Technical And Business Management College
132680     | Non-government Technical And Vocational | Valatoir Mohila Tecn. & B.m College
135359     | Others College                       | Eco College

############################# PANCHAGARH DISTRICT (53 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
------------------------------------------------------------------------------------------------
126191     | General College (HSC)                | Alhaj Tamij Uddin College
125800     | General College (HSC)                | Alowakhoa Tafshili School And College
126104     | General College (HSC)                | Hazi Sofir Uddin Ahamad Girls School And College
126015     | General College (HSC)                | Laxminarayoni Girls School And College
126147     | Government College                   | Mokbular Rahman Govt. College Panchagarh
126148     | Government College                   | Panchagarh Govt. Women S College
132244     | Government Technical And Vocational  | Panchagarh Technical School And College
126150     | Non-government College               | Amlahar College
125865     | Non-government College               | Atowari Adarsha Women S College
135313     | Non-government College               | Bagdaha Degree College
125866     | Non-government College               | Balarampur Adarsha College
125867     | Non-government College               | Bangabandhu Dangirhat Adarsha College
132011     | Non-government College               | Barrister Jamiruddin Sircar Collegiate Institute
126192     | Non-government College               | Bhajanpur College
126048     | Non-government College               | Bhaulaganj College Panchagarh
125976     | Non-government College               | Boda Women S College
126049     | Non-government College               | Chengthi Hazradanga College Panchagarh
126047     | Non-government College               | Debiganj College
126050     | Non-government College               | Debiganj Women S College
125977     | Non-government College               | Dhardhara College
126151     | Non-government College               | Jagdal College
126051     | Non-government College               | Kaligonj College
125975     | Non-government College               | Maidan Dighi College
126194     | Non-government College               | Majhipara Women S College
125864     | Non-government College               | Mirza Golam Hafiz College Atoary
138048     | Non-government College               | Mofizar Rahman College
125973     | Non-government College               | Pathraj College
125974     | Non-government College               | Sakoa College
126149     | Non-government College               | Shahid Ziaur Rahman College Tunirhat
126052     | Non-government College               | Sonaher College
126193     | Non-government College               | Tentulia College
134801     | Non-government School                | Shahid Police Smrity School & College, Panchgarh
126053     | Non-government School And College    | Bagdaha College Panchagarh
125877     | Non-government School And College    | Boda Pilot Girls School And College
125868     | Non-government School And College    | Boda Pilot Model School And College
126153     | Non-government School And College    | Dr. Abeda Hafiz Girls High School And College
126154     | Non-government School And College    | Futkibari High School And College
126195     | Non-government School And College    | Kaji Sahabuddin Girls High School And College
125876     | Non-government School And College    | Maraya Model High School And College
125870     | Non-government School And College    | Sakowa High School And College
132815     | Non-government Technical And Vocational | Atwari Tecnical & Business Management College
132853     | Non-government Technical And Vocational | Bhajanpur Nagar Tecnical & Business Management College
132248     | Non-government Technical And Vocational | Bscic Nagar Tecnical & Business Management College
136785     | Non-government Technical And Vocational | Chaklahat Technical And B.m. College
132255     | Non-government Technical And Vocational | Kaliganj Technical & Business Management College
132245     | Non-government Technical And Vocational | Mithapukur Technical And Bussiness Managment College
135138     | Non-government Technical And Vocational | Panchagarh Technical And B M Girls College
132273     | Non-government Technical And Vocational | Panchagarh Technical And Bussiness Mangement College
132256     | Non-government Technical And Vocational | Sakowa Technical And Business Managment College
132243     | Non-government Technical And Vocational | Sonahar Technical & Bm College
132263     | Non-government Technical And Vocational | Toria Technical And Business Management College
130923     | Others School                        | Panchagarh Model School  And  College
133755     | Others Technical And Vocational      | Harivasa Technical & Business Management College
